alpha,method,mean_coverage,se_coverage,mean_width,se_width
0.01,mle_ci,0.9651845637583898,0.0006904401576504855,0.6747697679307635,0.0003885242000422394
0.01,pred_mean_ci,0.5513926174496636,0.0007010701645501055,0.21017035735776607,1.2416271332775563e-05
0.01,pt_ci,0.9577013422818794,0.0007853260902777028,0.6466428497016362,0.00039972136178935977
0.01,eb_ppi_ci,0.9846812080536911,0.0006469177134337848,0.532029986120645,0.002454537649597205
0.01,eb_npmle_ppi_ci,0.9587751677852347,0.0013674203093279975,0.492336390287941,0.00300238511562205
0.01,eb_unipt_ppi_ci,0.9767114093959729,0.0006049068195010843,0.521265690827597,0.0005874610029141846
0.01,eb_npmle_unipt_ppi_ci,0.9393456375838933,0.0014817316672426002,0.4528457076471614,0.001559011732614273
0.05,mle_ci,0.9292617449664435,0.0009929471734024776,0.5134363683100477,0.0002956303968418485
0.05,pred_mean_ci,0.43414429530201365,0.0008591496854530501,0.15991988695508455,9.447615414961228e-06
0.05,pt_ci,0.9134060402684564,0.0011100843346490952,0.49203442733156777,0.00030415038445251355
0.05,eb_ppi_ci,0.9441778523489935,0.001449149065031921,0.4048248111996884,0.0018676724367099695
0.05,eb_npmle_ppi_ci,0.8963087248322158,0.0021747452008080066,0.3718641104363876,0.0018599449200840047
0.05,eb_unipt_ppi_ci,0.9454026845637589,0.0008628539379173476,0.39663419427322544,0.0004470026047328582
0.05,eb_npmle_unipt_ppi_ci,0.8567449664429537,0.0027319299091289237,0.34080748305543734,0.0012106925594371476
0.1,mle_ci,0.8844295302013427,0.0012809413307425881,0.430889383317806,0.000248100849973797
0.1,pred_mean_ci,0.3668120805369125,0.0007643268080392258,0.13420899983601947,7.928688794242488e-06
0.1,pt_ci,0.8639093959731544,0.0014717227455398017,0.4129283082572785,0.0002552510489741493
0.1,eb_ppi_ci,0.8921140939597321,0.001963731749716432,0.3397396912566302,0.0015674001184264644
0.1,eb_npmle_ppi_ci,0.835302013422819,0.0025992480176293973,0.3123028614302895,0.0014542361909348229
0.1,eb_unipt_ppi_ci,0.9046644295302022,0.001100740132460785,0.33286590884800854,0.0003751364114091815
0.1,eb_npmle_unipt_ppi_ci,0.7771140939597321,0.0034702190289943122,0.2812080161054521,0.001199718437577962
0.2,mle_ci,0.7988758389261748,0.001547511923001519,0.3357179962516954,0.00019330232641195778
0.2,pred_mean_ci,0.28451342281879183,0.0008080477962633173,0.10456599361293818,6.177463678521589e-06
0.2,pt_ci,0.7737583892617452,0.0017471378037570476,0.3217240192281325,0.00019887324687120828
0.2,eb_ppi_ci,0.7922147651006715,0.0028105411703522216,0.2647007162664809,0.0012212053660526057
0.2,eb_npmle_ppi_ci,0.7276174496644292,0.0033238607461591194,0.2450016709051128,0.001192388997930504
0.2,eb_unipt_ppi_ci,0.8125671140939597,0.0014901970279591688,0.25934515972172706,0.0002922792930974909
0.2,eb_npmle_unipt_ppi_ci,0.6478691275167787,0.004060994060237247,0.21159133620857445,0.0011799140812929429
0.3,mle_ci,0.7105872483221476,0.0017486169149817073,0.271506313225364,0.00015633002272135888
0.3,pred_mean_ci,0.22941275167785244,0.0007594201414709986,0.08456599804471296,4.9959204069047095e-06
0.3,pt_ci,0.6832382550335575,0.0019276905418811967,0.26018891841350095,0.0001608354114465696
0.3,eb_ppi_ci,0.6918959731543621,0.003044122605820467,0.21407227608896,0.000987629410189236
0.3,eb_npmle_ppi_ci,0.628825503355705,0.0035646073367855326,0.199435173164763,0.0010571735388176058
0.3,eb_unipt_ppi_ci,0.7143120805369131,0.0017572005930867663,0.2097410593267645,0.00023637598873764472
0.3,eb_npmle_unipt_ppi_ci,0.5391442953020136,0.004309382951378833,0.1668360284958811,0.0011397825636820019
